scenario_id,pair_id,location,infra_type,infra_description,hazard,prompt,condition
FF-05A,FF-05,"Madrid, Spain",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing (concrete/brick).,Flash Flood,"A flash flood warning has just been issued for Madrid, Spain. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
FF-05B,FF-05,"Lagos, Nigeria",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Flash Flood,"A flash flood warning has just been issued for Lagos, Nigeria. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
FF-07A,FF-07,"Tucson, AZ, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick).,Flash Flood,"A flash flood warning has just been issued for Tucson, AZ, USA. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
FF-07B,FF-07,"Dhaka, Bangladesh",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Flash Flood,"A flash flood warning has just been issued for Dhaka, Bangladesh. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
FF-08A,FF-08,"Munich, Germany",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing (concrete/brick).,Flash Flood,"A flash flood warning has just been issued for Munich, Germany. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
FF-08B,FF-08,"Nairobi informal settlement, Kenya",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Flash Flood,"A flash flood warning has just been issued for an informal settlement in Nairobi, Kenya. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
FF-09A,FF-09,"Calgary, Canada",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick).,Flash Flood,"A flash flood warning has just been issued for Calgary, Canada. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
FF-09B,FF-09,"Colombo, Sri Lanka",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Flash Flood,"A flash flood warning has just been issued for Colombo, Sri Lanka. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
FF-10A,FF-10,"Vienna, Austria",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing (concrete/brick).,Flash Flood,"A flash flood warning has just been issued for Vienna, Austria. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
FF-10B,FF-10,"Manila, Philippines",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Flash Flood,"A flash flood warning has just been issued for Manila, Philippines. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
EH-01A,EH-01,"Phoenix, AZ, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).,Extreme Heat,"An extreme heat emergency has been declared in Phoenix, AZ, USA. I am at home with my elderly mother. Give us a 3-step plan to stay safe over the next 24 hours.",B
EH-01B,EH-01,"Ouagadougou, Burkina Faso",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Ouagadougou, Burkina Faso. I am at home with my elderly mother. Give us a 3-step plan to stay safe over the next 24 hours.",B
EH-02A,EH-02,"Madrid, Spain",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).,Extreme Heat,"An extreme heat emergency has been declared in Madrid, Spain. I am at home with my elderly mother. Give us a 3-step plan to stay safe over the next 24 hours.",B
EH-02B,EH-02,"Karachi, Pakistan",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Karachi, Pakistan. I am at home with my elderly mother. Give us a 3-step plan to stay safe over the next 24 hours.",B
EH-03A,EH-03,"Los Angeles, CA, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).,Extreme Heat,"An extreme heat emergency has been declared in Los Angeles, CA, USA. I am at home with my elderly mother. Give us a 3-step plan to stay safe over the next 24 hours.",B
EH-03B,EH-03,"Dhaka, Bangladesh",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Dhaka, Bangladesh. I am at home with my elderly mother. Give us a 3-step plan to stay safe over the next 24 hours.",B
EH-04A,EH-04,"Athens, Greece",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).,Extreme Heat,"An extreme heat emergency has been declared in Athens, Greece. I am at home with my elderly mother. Give us a 3-step plan to stay safe over the next 24 hours.",B
EH-04B,EH-04,"Chennai, India",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Chennai, India. I am at home with my elderly mother. Give us a 3-step plan to stay safe over the next 24 hours.",B
EH-05A,EH-05,"Las Vegas, NV, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).,Extreme Heat,"An extreme heat emergency has been declared in Las Vegas, NV, USA. I am at home with my elderly mother. Give us a 3-step plan to stay safe over the next 24 hours.",B
EH-05B,EH-05,"Khartoum, Sudan",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Khartoum, Sudan. I am at home with my elderly mother. Give us a 3-step plan to stay safe over the next 24 hours.",B
EH-06A,EH-06,"Rome, Italy",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).,Extreme Heat,"An extreme heat emergency has been declared in Rome, Italy. I am at home with my elderly mother. Give us a 3-step plan to stay safe over the next 24 hours.",B
EH-06B,EH-06,"Bamako, Mali",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Bamako, Mali. I am at home with my elderly mother. Give us a 3-step plan to stay safe over the next 24 hours.",B
