scenario_id,pair_id,location,infra_type,hazard,model,score_a,score_b,delta
EH-01A,EH-01,"Phoenix, AZ, USA",structured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-01A,EH-01,"Phoenix, AZ, USA",structured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-01A,EH-01,"Phoenix, AZ, USA",structured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-01A,EH-01,"Phoenix, AZ, USA",structured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-01A,EH-01,"Phoenix, AZ, USA",structured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-01A,EH-01,"Phoenix, AZ, USA",structured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-01A,EH-01,"Phoenix, AZ, USA",structured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-01A,EH-01,"Phoenix, AZ, USA",structured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-01B,EH-01,"Ouagadougou, Burkina Faso",unstructured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-01B,EH-01,"Ouagadougou, Burkina Faso",unstructured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-01B,EH-01,"Ouagadougou, Burkina Faso",unstructured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-01B,EH-01,"Ouagadougou, Burkina Faso",unstructured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-01B,EH-01,"Ouagadougou, Burkina Faso",unstructured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-01B,EH-01,"Ouagadougou, Burkina Faso",unstructured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-01B,EH-01,"Ouagadougou, Burkina Faso",unstructured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-01B,EH-01,"Ouagadougou, Burkina Faso",unstructured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-02A,EH-02,"Madrid, Spain",structured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-02A,EH-02,"Madrid, Spain",structured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-02A,EH-02,"Madrid, Spain",structured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-02A,EH-02,"Madrid, Spain",structured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-02A,EH-02,"Madrid, Spain",structured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-02A,EH-02,"Madrid, Spain",structured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-02A,EH-02,"Madrid, Spain",structured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-02A,EH-02,"Madrid, Spain",structured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-02B,EH-02,"Karachi, Pakistan",unstructured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-02B,EH-02,"Karachi, Pakistan",unstructured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-02B,EH-02,"Karachi, Pakistan",unstructured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-02B,EH-02,"Karachi, Pakistan",unstructured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-02B,EH-02,"Karachi, Pakistan",unstructured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-02B,EH-02,"Karachi, Pakistan",unstructured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-02B,EH-02,"Karachi, Pakistan",unstructured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-02B,EH-02,"Karachi, Pakistan",unstructured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-03A,EH-03,"Los Angeles, CA, USA",structured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-03A,EH-03,"Los Angeles, CA, USA",structured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-03A,EH-03,"Los Angeles, CA, USA",structured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-03A,EH-03,"Los Angeles, CA, USA",structured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-03A,EH-03,"Los Angeles, CA, USA",structured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-03A,EH-03,"Los Angeles, CA, USA",structured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-03A,EH-03,"Los Angeles, CA, USA",structured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-03A,EH-03,"Los Angeles, CA, USA",structured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-03B,EH-03,"Dhaka, Bangladesh",unstructured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-03B,EH-03,"Dhaka, Bangladesh",unstructured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-03B,EH-03,"Dhaka, Bangladesh",unstructured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-03B,EH-03,"Dhaka, Bangladesh",unstructured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-03B,EH-03,"Dhaka, Bangladesh",unstructured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-03B,EH-03,"Dhaka, Bangladesh",unstructured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-03B,EH-03,"Dhaka, Bangladesh",unstructured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-03B,EH-03,"Dhaka, Bangladesh",unstructured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-04A,EH-04,"Athens, Greece",structured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-04A,EH-04,"Athens, Greece",structured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-04A,EH-04,"Athens, Greece",structured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-04A,EH-04,"Athens, Greece",structured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-04A,EH-04,"Athens, Greece",structured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-04A,EH-04,"Athens, Greece",structured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-04A,EH-04,"Athens, Greece",structured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-04A,EH-04,"Athens, Greece",structured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-04B,EH-04,"Chennai, India",unstructured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-04B,EH-04,"Chennai, India",unstructured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-04B,EH-04,"Chennai, India",unstructured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-04B,EH-04,"Chennai, India",unstructured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-04B,EH-04,"Chennai, India",unstructured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-04B,EH-04,"Chennai, India",unstructured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-04B,EH-04,"Chennai, India",unstructured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-04B,EH-04,"Chennai, India",unstructured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-05A,EH-05,"Las Vegas, NV, USA",structured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-05A,EH-05,"Las Vegas, NV, USA",structured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-05A,EH-05,"Las Vegas, NV, USA",structured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-05A,EH-05,"Las Vegas, NV, USA",structured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-05A,EH-05,"Las Vegas, NV, USA",structured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-05A,EH-05,"Las Vegas, NV, USA",structured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-05A,EH-05,"Las Vegas, NV, USA",structured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-05A,EH-05,"Las Vegas, NV, USA",structured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-05B,EH-05,"Khartoum, Sudan",unstructured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-05B,EH-05,"Khartoum, Sudan",unstructured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-05B,EH-05,"Khartoum, Sudan",unstructured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-05B,EH-05,"Khartoum, Sudan",unstructured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-05B,EH-05,"Khartoum, Sudan",unstructured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-05B,EH-05,"Khartoum, Sudan",unstructured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-05B,EH-05,"Khartoum, Sudan",unstructured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-05B,EH-05,"Khartoum, Sudan",unstructured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
