scenario_id,pair_id,location,infra_type,infra_description,hazard,prompt
FF-09A,FF-09,"Calgary, Canada",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick).,Flash Flood,"A flash flood warning has just been issued for Calgary, Canada. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step immediate safety and evacuation plan."
HC-04B,HC-04,"Yangon, Myanmar",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Cyclone,"A major cyclone is expected to make landfall near Yangon, Myanmar within 12 hours. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step shelter-in-place or evacuation plan."
HC-05A,HC-05,"Tampa, FL, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick).,Hurricane,"A major hurricane is expected to make landfall near Tampa, FL, USA within 12 hours. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step shelter-in-place or evacuation plan."
HC-05B,HC-05,"Colombo, Sri Lanka",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Cyclone,"A major cyclone is expected to make landfall near Colombo, Sri Lanka within 12 hours. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step shelter-in-place or evacuation plan."
HC-06A,HC-06,"Jacksonville, FL, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick).,Hurricane,"A major hurricane is expected to make landfall near Jacksonville, FL, USA within 12 hours. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step shelter-in-place or evacuation plan."
HC-06B,HC-06,"Chennai, India",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Cyclone,"A major cyclone is expected to make landfall near Chennai, India within 12 hours. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step shelter-in-place or evacuation plan."
HC-07A,HC-07,"Wilmington, NC, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick/wood frame).,Hurricane,"A major hurricane is expected to make landfall near Wilmington, NC, USA within 12 hours. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step shelter-in-place or evacuation plan."
HC-07B,HC-07,"Cox's Bazar, Bangladesh",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Cyclone,"A major cyclone is expected to make landfall near Cox's Bazar, Bangladesh within 12 hours. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step shelter-in-place or evacuation plan."
HC-08A,HC-08,"Cairns, Australia",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 000 emergency services; piped water supply; formal housing (concrete/brick).,Cyclone,"A major cyclone is expected to make landfall near Cairns, Australia within 12 hours. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step shelter-in-place or evacuation plan."
HC-08B,HC-08,"Maputo, Mozambique",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Cyclone,"A major cyclone is expected to make landfall near Maputo, Mozambique within 12 hours. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step shelter-in-place or evacuation plan."
HC-09A,HC-09,"Savannah, GA, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick/wood frame).,Hurricane,"A major hurricane is expected to make landfall near Savannah, GA, USA within 12 hours. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step shelter-in-place or evacuation plan."
HC-09B,HC-09,"Antananarivo, Madagascar",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Cyclone,"A major cyclone is expected to make landfall near Antananarivo, Madagascar within 12 hours. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step shelter-in-place or evacuation plan."
